dt_ecriture;exercice_comptable;nøpiece;nom_fichier;libelle;type;ttc;tva;ht;mode_rglt;etat_statut;idt_mode_reg;idt_statut;idt_ss_categorie
2020-02-19;2020;Note De Frais N°0898;1023-NDF_0898.pdf;La Table d'Home;Restauration;64;6.33;64;CB PRO;;3;;15
2020-02-20;2020;Note De Frais N°0899;1024-NDF_0899.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-02-20;2020;Facture N°;;Cdiscount;Achat matériel informatique;119.70;;;CB PRO;;3;;21
2020-02-21;2020;Note De Frais N° 0900;1025-NDF_0900.pdf;Total;Carburant Auto;70;11.67;58.33;CB PRO;;3;;10
2020-02-22;2020;Note De Frais N° 0901;1026-NDF_0901.pdf;Paradis du Fruit;Restauration;85.9;7.81;;CB PRO;;3;;15
2020-02-22;2020;Facture FAC-0133535;FAC-0133535.pdf;Samsung;Achat Téléphone;379;63.17;315.83;CB PRO;;3;;21
2020-02-25;2020;Facture 2020-01-15_1;F2020-01-15 mlso 2018-2019.pdf;HMG;facture cloture de compte;2509.20;418.2;2091;VRMT;;5;;26
2020-02-24;2020;Note De Frais N° 0902;1027-NDF_0902.pdf;Le royal;Restauration;17.8;1.71;16.06;CB PRO;;3;;15
2020-02-25;2020;Note De Frais N°0903;1028-NDF_0903.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-02-26;2020;Note De Frais N°0904;1029-NDF_0904.pdf;Number Steak house 5;Restauration;26.8;2.44;24.36;CB PRO;;3;;15
2020-02-27;2020;Note De Frais N°0905;1030-NDF_0905.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-02-28;2020;Note De Frais N°0906;1031-NDF_0906.pdf;Forfait mobile de Février 2020;Forfait mobile de Février 2020;50;;;VRMT;PAYE;5;1;33
2020-02-28;2020;Note De Frais N°0906_1;1031-NDF_0906.pdf;Forfait internet de Février 2020;Forfait internet de Février 2020;50;;;VRMT;PAYE;5;1;34
2020-02-28;2020;Note De Frais N°0906_2;1031-NDF_0906.pdf;EDF de Février 2020;EDF de Février 2020;50;;;VRMT;PAYE;5;1;32
2020-03-03;2020;Note De Frais N°0907;1032-NDF_0907.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-03-05;2020;Note De Frais N°0908;1033-NDF_0908.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-03-07;2020;Note De Frais N°0909;1034-NDF_0909.pdf;Total;Carburant Auto;41.57;6.93;34.64;CB PRO;;3;;10
2020-03-10;2020;Cipav 2020;CIPAV-2020.pdf;CIPAV 2020;CIPAV 2020;971.34;;;VRMT;;5;;7
2020-03-10;2020;Note De Frais N°0910;1035-NDF_0910.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-03-12;2020;Note De Frais N°0911;1036-NDF_0911.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2020-03-20;2020;Note De Frais N°0884_10;Macif-2020.pdf;MACIF;Assurance Auto;81.91;;;VRMT;;5;;40
2020-03-20;2020;Note De Frais N°1974493_68;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2020-03-30;2020;Note De Frais N°0912;1037-NDF_0912.pdf;Forfait mobile de Mars 2020;Forfait mobile de Mars 2020;50;;;VRMT;PAYE;5;1;33
2020-03-30;2020;Note De Frais N°0912_1;1037-NDF_0912.pdf;Forfait internet de Mars 2020;Forfait internet de Mars 2020;50;;;VRMT;PAYE;5;1;34
2020-03-30;2020;Note De Frais N°0912_2;1037-NDF_0912.pdf;EDF de Mars 2020;EDF de Mars 2020;50;;;VRMT;PAYE;5;1;32
2020-04-09;2020;Facture Adobe_Transaction_No_1177003597;Adobe_Transaction_No_1177003597.pdf;Adobe;Abonnement Logiciel Cloud;19.99;0;19.99;VRMT;;5;;20
2020-04-20;2020;Note De Frais N°0884_11;Macif-2020.pdf;MACIF;Assurance Auto;80.35;;;VRMT;;5;;40
2020-04-20;2020;Facture FAC_0053-7892-0836;FAC_0053-7892-0836.pdf;PearsonVue Oracle;Examen de certification;264;44;220;CB PRO;;3;;40
2020-04-21;2020;Note De Frais N°1974493_69;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2020-04-30;2020;Note De Frais N°0913;1038-NDF_0913.pdf;Forfait mobile de Avril 2020;Forfait mobile de Avril 2020;50;;;VRMT;PAYE;5;1;33
2020-04-30;2020;Note De Frais N°0913_1;1038-NDF_0913.pdf;Forfait internet de Avril  2020;Forfait internet de Avril  2020;50;;;VRMT;PAYE;5;1;34
2020-04-30;2020;Note De Frais N°0913_2;1038-NDF_0913.pdf;EDF de Avril 2020;EDF de Avril 2020;50;;;VRMT;PAYE;5;1;32
2020-05-05;2020;Facture FAC_0053-9180-6896;FAC_0053-9180-6896.pdf;PearsonVue Oracle;Examen de certification;135;27;162;CB PRO;;3;;40
2020-05-11;2020;Facture Adobe_Transaction_No_1191641029;Adobe_Transaction_No_1191641029.pdf;Adobe;Abonnement Logiciel Cloud;19.99;0;19.99;VRMT;;5;;20
2020-05-20;2020;Note De Frais N°1974493_70;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2020-05-20;2020;Note De Frais N°0884_12;Macif-2020.pdf;MACIF;Assurance Auto;80.35;;;VRMT;;5;;40
2020-05-29;2020;Facture AB76147160;AB76147160.pdf;APPLE;Achat d'un téléphone portable pro;489;81.5;407.5;CB PRO;;3;;21
2020-05-30;2020;Note De Frais N°0914;1039-NDF_0914.pdf;Forfait mobile de Mai 2020;Forfait mobile de Mai 2020;50;;;VRMT;PAYE;5;1;33
2020-05-30;2020;Note De Frais N°0914_1;1039-NDF_0914.pdf;Forfait internet de Mai  2020;Forfait internet de Mai  2020;50;;;VRMT;PAYE;5;1;34
2020-05-30;2020;Note De Frais N°0914_2;1039-NDF_0914.pdf;EDF de Mai 2020;EDF de Mai 2020;50;;;VRMT;PAYE;5;1;32
2020-06-09;2020;Facture Adobe_Transaction_No_1207123489;Adobe_Transaction_No_1207123489.pdf;Adobe;Abonnement Logiciel Cloud;19.99;0;19.99;VRMT;;5;;20
2020-06-12;2020;Facture F905L694251;F905L694251.pdf;Boulanger;Achat matériel informatique;358.98;;;CB PRO;;3;;21
